File Name,Directory
california v texas amicus association of american physicians and surgeons.txt,Amici
california v texas amicus bipartisan economic scholars 2.txt,Amici
california v texas amicus bipartisan economic scholars.txt,Amici
california v texas amicus blue cross blue shield.txt,Amici
california v texas amicus catholic health association.txt,Amici
california v texas amicus cato institute.txt,Amici
california v texas amicus center for constitutional jurisprudence.txt,Amici
california v texas amicus david boyle.txt,Amici
california v texas amicus families usa.txt,Amici
california v texas amicus first focus on children.txt,Amici
california v texas amicus for 33 state hospital associations.txt,Amici
"california v texas amicus for maryland, maine, et al.txt",Amici
california v texas amicus foundation for moral law.txt,Amici
california v texas amicus hca healthcare.txt,Amici
california v texas amicus health care policy scholars.txt,Amici
california v texas amicus jeremy c doerre.txt,Amici
california v texas amicus jonathan h adler.txt,Amici
california v texas amicus lambda legal defense and education fund.txt,Amici
california v texas amicus landmark legal foundation.txt,Amici
california v texas amicus michael c dorf.txt,Amici
california v texas amicus national association of community health centers.txt,Amici
california v texas amicus national health law program.txt,Amici
california v texas amicus national hospital associations 2.txt,Amici
california v texas amicus national hospital associations.txt,Amici
california v texas amicus national womens law center.txt,Amici
california v texas amicus ohio and montana.txt,Amici
california v texas amicus patient centered outcomes research institute.txt,Amici
california v texas amicus public health experts.txt,Amici
california v texas amicus samuel l bray.txt,Amici
california v texas amicus service employees international union.txt,Amici
california v texas amicus small business majority foundation.txt,Amici
california v texas amicus tribes and tribal organizations.txt,Amici
california v texas amicus walter dellinger.txt,Amici
california v texas amicus washington and lee university.txt,Amici
king v burwell amicus council for health freedom.txt,Amici
king v burwell amicus jonathan h adler.txt,Amici
king v burwell amicus landmark legal foundation.txt,Amici
king v burwell amicus missouri liberty project.txt,Amici
king v burwell amicus pacific research institute.txt,Amici
king v burwell amicus senators cornyn cruz et al.txt,Amici
king v burwell amicus states of oklamoma alabama et al 2.txt,Amici
king v burwell amicus states of oklamoma alabama et al.txt,Amici
little sisters v pennsylvania  amicus douglas laycock.txt,Amici
little sisters v pennsylvania amicus 161 members of congress.txt,Amici
little sisters v pennsylvania amicus 186 members of congress.txt,Amici
little sisters v pennsylvania amicus 92 members of congress.txt,Amici
little sisters v pennsylvania amicus administrative law scholars.txt,Amici
little sisters v pennsylvania amicus american academy of pediatrics.txt,Amici
little sisters v pennsylvania amicus american association of university women.txt,Amici
little sisters v pennsylvania amicus american center for law and justice.txt,Amici
little sisters v pennsylvania amicus american civil liberties union.txt,Amici
little sisters v pennsylvania amicus american college of obstetricians and gynecologists.txt,Amici
little sisters v pennsylvania amicus catholic association foundation.txt,Amici
little sisters v pennsylvania amicus catholic benefits association.txt,Amici
little sisters v pennsylvania amicus catholics for choice.txt,Amici
little sisters v pennsylvania amicus cato institute 2.txt,Amici
little sisters v pennsylvania amicus cato institute.txt,Amici
little sisters v pennsylvania amicus center for health law and policy innovation of harvard law school.txt,Amici
little sisters v pennsylvania amicus center for inquiry.txt,Amici
little sisters v pennsylvania amicus child usa.txt,Amici
little sisters v pennsylvania amicus christian business owners.txt,Amici
little sisters v pennsylvania amicus christian legal society and national association of evangelicals.txt,Amici
little sisters v pennsylvania amicus christian legal society.txt,Amici
little sisters v pennsylvania amicus church state scholars.txt,Amici
little sisters v pennsylvania amicus cities of oakland saint paul and 30 additional cities.txt,Amici
little sisters v pennsylvania amicus constitutional law scholars.txt,Amici
little sisters v pennsylvania amicus first liberty institut 2.txt,Amici
little sisters v pennsylvania amicus first liberty institute.txt,Amici
little sisters v pennsylvania amicus foundation for moral law 2.txt,Amici
little sisters v pennsylvania amicus foundation for moral law.txt,Amici
little sisters v pennsylvania amicus guttmacher institute.txt,Amici
little sisters v pennsylvania amicus howard university school of law civil and human rights clinic.txt,Amici
little sisters v pennsylvania amicus independent womens law center.txt,Amici
little sisters v pennsylvania amicus inner life fund.txt,Amici
little sisters v pennsylvania amicus international society for krishna consciousness.txt,Amici
little sisters v pennsylvania amicus knights of columbus.txt,Amici
little sisters v pennsylvania amicus lambda legal defense and education fund.txt,Amici
little sisters v pennsylvania amicus legal scholars.txt,Amici
little sisters v pennsylvania amicus march for life education and defense fund.txt,Amici
little sisters v pennsylvania amicus martin s lederman.txt,Amici
little sisters v pennsylvania amicus massachusetts et al.txt,Amici
little sisters v pennsylvania amicus michael stokes paulsen.txt,Amici
little sisters v pennsylvania amicus mila sohoni.txt,Amici
little sisters v pennsylvania amicus military historians.txt,Amici
little sisters v pennsylvania amicus national league of cities.txt,Amici
little sisters v pennsylvania amicus national womens law center.txt,Amici
little sisters v pennsylvania amicus new civil liberties alliance.txt,Amici
little sisters v pennsylvania amicus nicholas bagley.txt,Amici
little sisters v pennsylvania amicus phyllis c borzi.txt,Amici
little sisters v pennsylvania amicus planned parenthood federation of america.txt,Amici
little sisters v pennsylvania amicus professors of civil procedure and federal courts.txt,Amici
little sisters v pennsylvania amicus professors of criminal law.txt,Amici
little sisters v pennsylvania amicus public citizen.txt,Amici
little sisters v pennsylvania amicus public interest law center.txt,Amici
little sisters v pennsylvania amicus religious and civil rights organizations.txt,Amici
little sisters v pennsylvania amicus residents and families of residents at little sisters 2.txt,Amici
little sisters v pennsylvania amicus residents and families of residents at little sisters.txt,Amici
little sisters v pennsylvania amicus texas alabama et al.txt,Amici
little sisters v pennsylvania amicus us conference of catholic bishops and mormans.txt,Amici
little sisters v pennsylvania amicus us conference of catholic bishops.txt,Amici
little sisters v pennsylvania amicus us womens chamber of commerce.txt,Amici
little sisters v pennsylvania amicus women scholars.txt,Amici
little sisters v pennsylvania amicus yale law school program for the study of reproductive justice.txt,Amici
maine community health v us amicus 24 states.txt,Amici
maine community health v us amicus americans for prosperity.txt,Amici
maine community health v us amicus americas health insurance plans.txt,Amici
maine community health v us amicus association for community affiliated plans.txt,Amici
maine community health v us amicus blue cross blue shield 2.txt,Amici
maine community health v us amicus blue cross blue shield.txt,Amici
maine community health v us amicus chamber of commerce.txt,Amici
maine community health v us amicus economists 2.txt,Amici
maine community health v us amicus economists.txt,Amici
maine community health v us amicus highmark inc.txt,Amici
maine community health v us amicus national association of insurance commissioners.txt,Amici
maine community health v us amicus wisconsin physicians service insurance corporation.txt,Amici
nfib v sebelius amicus aarp.txt,Amici
nfib v sebelius amicus aclu.txt,Amici
nfib v sebelius amicus american center for law and justice.txt,Amici
nfib v sebelius amicus american medical student association.txt,Amici
nfib v sebelius amicus american public health association.txt,Amici
nfib v sebelius amicus america_s health insurance plans.txt,Amici
nfib v sebelius amicus brief for private petitioners on severability.txt,Amici
"nfib v sebelius amicus california, connecticut, delaware, et al.txt",Amici
nfib v sebelius amicus chamber of commerce.txt,Amici
nfib v sebelius amicus competitive enterprise institute.txt,Amici
nfib v sebelius amicus david boyle.txt,Amici
nfib v sebelius amicus david r reimer.txt,Amici
nfib v sebelius amicus economists.txt,Amici
nfib v sebelius amicus family research council and house of representatives.txt,Amici
nfib v sebelius amicus justice and freedom fund.txt,Amici
nfib v sebelius amicus members of the senate.txt,Amici
nfib v sebelius amicus michigan legal services.txt,Amici
nfib v sebelius amicus missouri attorney general.txt,Amici
nfib v sebelius amicus national restaurant association.txt,Amici
nfib v sebelius amicus texas policy foundation.txt,Amici
nfib v sebelius amicus washington and lee.txt,Amici
nfib v sebelius amicus western center for journalism.txt,Amici
burwell v hobby lobby opinions.txt,Opinions
california v texas decision.txt,Opinions
king v burwell decision.txt,Opinions
little sisters v pennslyvania opinion.txt,Opinions
maine community health v us decision.txt,Opinions
nfib v sebelius opinions.txt,Opinions
